title,plot_synopsis,tags
The Rack,"Having survived two years in Korea in a prisoner-of-war camp, Captain Edward W. Hall, Jr., returns home to San Francisco and reports to an Air Force base there. His father, a retired lieutenant colonel, is glad to have his son back, but still grieving over the death of his other son, Pete, in the war.
Pete's widow, Aggie Hall, confides to her friend Caroline that it is difficult to be around her brother-in-law without being painfully reminded of having lost her husband. A welcome-home party is held for Capt. Hall, which surprises Colonel Dudley Smith, a friend of Ed, Sr. He finds out that Capt. Hall's father is unaware that Ed Jr. is about to be tried in a court-martial for collaboration with the enemy.
Asking bluntly if the charges are true and being told that they are, Ed Sr. cruelly says to his son: ""Why didn't you just die?""
Major Sam Moulton prosecutes the case. He calls eyewitnesses who testify that at the POW camp in the winter of 1951, Capt. Hall made speeches and signed documents on the enemy's behalf. A much-decorated officer, Capt. John Miller, reveals the scars he received while a prisoner, all the while never conceding to his captors anything but his name, rank and serial number.
Capt. Hall has his sister-in-law's support, but his father refuses even to attend the trial. Hall is disconsolate and wishes to plead guilty. But his lawyer, Lt. Col. Frank Wasnick, appeals to him to take the witness stand and explain his actions.
In stark detail, Capt. Hall discloses the torture he underwent. How he was ordered to bury other soldiers, dead or alive. How he carried a wounded man for four days so he wouldn't collapse and be placed in a grave. How he was placed in solitary confinement for months at a time, denied light and company and forced to live in his own filth. After repeated demands to read propaganda statements, Capt. Hall agreed to do so but wrote one himself, using language that attempted to mock the enemy's purpose.
The breaking point came soon after the enemy handed Capt. Hall a letter from his father that was intercepted, one revealing that his brother Pete was dead. Capt. Hall's father, who finally has come to the trial, is devastated by his son's testimony. He forgives him, but the official judgment is not so kind. Capt. Hall is found guilty of treason.",brainwashing
[Rec]²,"Reporter Ángela Vidal (Manuela Velasco), and her cameraman Pablo, are covering the night shift in one of Barcelona's local fire stations for the documentary television series While You're Sleeping. While they are recording, the firehouse receives a call about an old woman, Mrs. Izquierdo, who is trapped in her apartment and screaming. Ángela and Pablo accompany two of the firefighters, Álex and Manu, to the apartment building, where two police officers are waiting. As they approach the old woman becomes aggressive and attacks one of the officers, biting his neck.
As they carry the injured officer downstairs, they find the building's residents gathered in the lobby. The police and military have sealed off the building and trapped them inside. As people begin to panic, Álex, who remained upstairs with the old woman, is thrown over the staircase railings and seriously injured. The old woman then kills a girl, and the remaining officer, Sergio, is forced to shoot her. Ángela and Pablo begin interviewing the residents, including a sick little girl named Jennifer. Her mother Maricarmen claims she has tonsillitis, and says her dog, Max, is at the vet because he is sick as well.
The injured are put in the building's textile warehouse. A health inspector in hazmat suit arrives and attempts to treat them. Suddenly, they become aggressive and start attacking other people. The residents flee and Guillem, an intern, is locked in the warehouse. The health inspector explains that they are infected with a virus similar to rabies, and the time in which the disease takes effect varies by blood type. He reveals the disease is traced back to a dog in the apartment building, and Ángela realizes it's Max. When the residents confront Maricarmen, Jennifer turns, vomits blood at her mother's face and flees upstairs.
Sergio handcuffs Maricarmen to the stairs and proceeds upstairs with Manu and Pablo. They find Jennifer but she bites Sergio, who tells the others to leave him. Manu and Pablo find the remaining residents running upstairs as the infected in warehouse have broken down the door. Leaving the handcuffed Mari behind, they enter an empty apartment along with Ángela, a resident called César, and the health inspector, who has been bitten. César mentions that there might be another way out through the basement, where there is a large drain that is connected to the sewers, but says the keys are in Guillem's apartment. The infected health inspector then bites César, forcing Ángela, Manu and Pablo to escape and fight their way up to Guillem's apartment on the third floor.
Having found the key, Ángela and Pablo leave the apartment and find Manu among the infected. The pair are chased upstairs, and take refuge in the penthouse. They discover a tape recorder which explains the virus' origin. The penthouse' owner was an agent of the Vatican. He was researching and isolating an enzyme believed to be the biological cause of demonic possession. He located a possessed young girl named Tristana Medeiros, kidnapped and brought her to the penthouse for research. During this time, the enzyme mutated and became viral. The agent, having no other options, sealed Tristana in the house, presumably to let her die of starvation.
Pablo reaches up with his camera to record around inside the attic. An infected child swipes at the camera and breaks its light, shrouding them in complete darkness. Pablo turns on the night vision and discovers a sealed door. Tristana, now a blind and horribly emaciated figure, emerges and searches the penthouse for food. Ángela and Pablo try to escape, but Pablo is killed by Tristana and drops the camera. Ángela then picks it up and looks through the screen. Seeing Tristana eating Pablo, she panics, trips and drops the camera. The camera continues to record as Ángela is dragged into the darkness screaming.","violence, murder, claustrophobic"
Repentance,"Repentance is set in a small Georgian town. The film starts with the scene of a woman preparing cakes. A man in a chair is reading from a newspaper that the town's mayor, Varlam Aravidze (Avtandil Makharadze) has died. One day after the funeral the corpse of the mayor turns up in the garden of his son's house. The corpse is reburied, only to reappear again in the garden. A woman, Ketevan Barateli (Zeinab Botsvadze), is eventually arrested and accused of digging up the corpse. She defends herself and states that Varlam does not deserve to be buried as he was responsible for a Stalin-like regime of terror responsible for the disappearance of her parents and her friends. She is put on trial and gives her testimony, with the story of Varlam's regime being told in flashbacks.
During the trial, Varlam's son Abel (Avtandil Makharadze) denies any wrongdoings by his father and his lawyer tries to get Ketevan declared insane. Varlam's grandson Tornike (Merab Ninidze) is shocked by the revelations about the crimes of his grandfather. He ultimately commits suicide. Abel himself then throws Varlam's corpse off a cliff on the outskirts of the town.
At the end the film returns to the scene of the woman preparing a cake. An old woman is asking her at the window whether this is the road that leads to the church. The woman replies that the road is Varlam street and will not lead to the temple. The old woman replies: ""What good is a road if it doesn't lead to a church?""","horror, murder"
Dum Maaro Dum,"The film starts with a footballer, Lorry (Prateik Babbar), who gets admission into an American college. Due to insufficient funds, he is unable to fulfill his dream. On the other hand, his girlfriend Tani (Anaitha Nair) got a scholarship to US. Though he is happy for his girlfriend's achievement, he becomes depressed for not fulfilling his own dream. His friend, Ricky (Gulshan Devaiah), tells him that he can get him into the college, but Lorry will have to smuggle drugs along with him. Lorry agrees and at the airport, successfully passes the X-ray machine.
ACP Vishnu Kamath (Abhishek Bachchan) is a previously corrupt cop who had accepted a lot of bribes to satisfy his family. However, his family died in a car accident. Several years later, he is offered a job by the Chief Minister of Goa: to flush out all the drug gangsters in Goa, which he accepts. His success leads to a panic among the drug suppliers. The drug dealers gather for a meeting led by Zoey (Bipasha Basu). Zoey guarantees them that their drugs will be in safe hands if they are given to a mysterious person named Michael Barbosa. Kamath decides to chase Michael Barbosa and finds out about Ricky.
When Kamath reaches Ricky, he is already dead. Kamath finds out about his cocaine-smuggling and his girlfriend, Rozanna (Mariah Pucu Gantois Gomes). They reach the airport on the same day Lorry is about to leave. Kamath encounters Rozanna and finds a photo of Lorry in her phone. She is allowed to go due to lack of evidence. Kamath then identifies Lorry as the person he had seen in Rozanna's phone. They detain him and find cocaine stuffed in his bag. Lorry is sent to juvenile jail, where his friend, DJ Joki Fernandes (Rana Daggubati), tries to get him out. It is then revealed that Zoey and Joki used to date. Zoey wanted to be an air hostess, but failed. Joki introduced her to his boss, Lorsa Biscuita a.k.a. the Biscuit (Aditya Pancholi), who had worldwide contacts. With the help of his contacts, Biscuit got her a job in airlines, though she had to smuggle cocaine to international regions to repay him. She ended up getting caught and was sentenced to 14 years in jail. Biscuit's contact got her free in 14 days, but to repay him, she had to sleep with Biscuit. She broke up with Joki and made her life drug-dealing with Biscuit.
Joki meets Zoey and the two end up sleeping together. Zoey gives him a video of Biscuit announcing that he is going to have a rave in neighboring Karnataka, out of Kamath's jurisdiction and that Michael Barbosa will be bringing and exchanging drugs. Joki gives this tape to Kamath. When Biscuit comes to know about Zoey and Joki, he kills Zoey. After recruiting Lorry for help, Kamath attacks Biscuit's party and arrests the drug dealers. When Kamath's colleague Rane asks him about Barbosa, Kamath says that he knows the secret of Barbosa and Rane kills Kamath. It is revealed that Rane was always involved with Biscuit. Joki later finds out about Kamath's death and arrives at the crime scene, fitting together the pieces as Kamath has. Michael Barbosa is not a man but a gravesite Biscuit uses for storing drugs. We see Joki carefully storing the bags of cocaine somewhere, then calling Rane to arrange a meeting. Lorry is now free of the charge and he comes out of jail. When Joki and Rane are going to meet Biscuit, Joki kills Rane saying that he knows Rane is the person who killed Kamath. Kamath's body is being cremated in an electric furnace owned by Biscuit. We see that this is where Joki has put the drugs, and Biscuit arrives only too late. Having been brought down by the destruction of his stockpile, Biscuit is killed by a woman who may be Rozanna. Lorry comes to a beach party where Joki is singing, and Tani joins him in a joyful reunion. The film ends with Joki riding on his bike envisioning Kamath and Zoey.","revenge, murder, romantic"
The Lords of Discipline,"Will McLean, an aspiring novelist, finds life as a ""knob"" or ""plebe"" (a first-year cadet in training) at the Carolina Military Institute in Charleston to be physically and emotionally brutal. Will is not interested in a military career, and had only agreed to attend the Institute as a promise to his father, who was an alumnus, and died of cancer several years before the story takes place.
Will does not exactly excel in military training, but he is a decent student, an athlete, and his professors and peers recognize him for his integrity and his sense of fairness. Still, this is not an easy time to be a student in a military academy—especially in the South. On top of that, Will's Irish background and Roman Catholic faith have made him an outsider in Charleston society.
Will finds solace in his three roommates, who become his close friends: Tradd St. Croix, an ""old Charlestonian"" (from a very rich and respected family); and Dante ""Pig"" Pignetti and Mark Santoro, two brawny, Northern boys of Italian descent. He also respects the tough-talking, cigar-chomping Colonel ""Bear"" Berrineau (based on Thomas Nugent ""The Boo"" Courvoisie, a former Commandant at The Citadel) who asks the senior cadet McLean to look out for the Institute's first black cadet, Tom Pearce. ""The Bear"" chose McLean for this duty because an essay McLean had written in a previous year marked him as the only liberal in the student body.
But McLean's journey to manhood has many twists and turns, as he meets a girl whose life he can never be a part of and hears rumors of The Ten, a mysterious Institute secret society that ensures certain cadets, deemed unacceptable to ""wear the ring"" (that is, to be a graduate of the Institute, denoted by wearing of a class ring), are run out by any means necessary. The Vietnam War is raging, the military is unpopular and desegregation is knocking on the doors of Southern schools. It quickly becomes apparent that a group of cadets is trying to run Pearce out of the Institute, acting on the orders of trustees who are seeing to it that the Institute remain ""as white as a flounder's belly"". Will steps in to intervene, and he discovers a truth so horrendous that this knowledge can bring down the Institute. It also makes Will and his roommates targets. Not only is their graduation now in jeopardy, but their lives are also in danger.",sadist
Devil in a Blue Dress,"Set in 1948, in the Watts area of Los Angeles, the story begins with Easy out-of-work and unable to pay his mortgage. He is sitting in a bar run by Joppy, a friend from Texas, when a man named DeWitt Albright walks into the bar and offers him a job finding a young woman named Daphne Monet. Monet, a young white woman, is rumored to be hanging out in bars frequented mostly by African Americans, although white women are allowed inside.
At the bar Easy meets two old friends, Coretta and Dupree from Texas, among many other people that he knew from his former life in the South. Coretta says that she knows Daphne, but gives an incorrect address to Easy. He goes home with them and has sex with Coretta, although Dupree is asleep next room, and then leaves her in the early morning only to be arrested by the LAPD shortly thereafter and, after some questioning, he is told that Coretta is dead and that he is a suspect in Coretta's murder.
When he finally does find Monet, he figures out that she has stolen a large amount of money from a man named Todd Carter, who is a local wealthy businessman. Albright wanted to claim it for himself. Eventually, Albright finds Monet through Easy, who is trying to shield the thieving woman.
With the help of his friend Mouse (who shows up mid-way through the story, due to a half-hearted invitation from Easy and domestic strife back home in Texas) he finds Monet with Albright and Joppy. They rescue her, kill Joppy and Albright, and then Mouse reveals that Monet is actually Ruby, an African-American woman passing as white, and the sister of a local gangster named Green. Mouse and Easy blackmail Ruby, taking her money and dividing it into thirds for each of them. Daphne/Ruby leaves shortly thereafter and Easy has to clean up the mess with the police and Todd Carter, who had initially hired Albright to find her as he really did love her and not his money.
Easy approaches Carter and requests his help with the police. He blackmails him by saying that he will leak the information about his love for a black woman unless he is protected from the law. Carter does so. At the conclusion, Mouse goes back to Texas, Easy takes up detective work, and Ruby disappears.","neo noir, murder, violence, atmospheric, plot twist, suspenseful"
The Last Kiss,"Michael and his live-in girlfriend Jenna appear to be enjoying the perfect relationship: Jenna is pregnant prior to the opening of the film and her parents are pressuring the pair to get married. Jenna claims that Michael's work pressures and her own dissertation rendered it an inopportune time for marriage. The real reason, unbeknownst to anyone, is that Michael feels trapped and scared. Although he considers Jenna an ideal companion, Michael is harboring second thoughts.Upon a chance encounter at a wedding, Michael meets Kim, whom he confides in about his relationship. Kim guesses he is about to break up with Jenna and becomes flirtatious. While Michael becomes intrigued by Kim's youthfulness, openness, and spirit, he does not succumb to temptation. The two part ways with Kim telling Michael where she attends school and where she usually hangs out.Michael eventually seeks her out at the Memorial Union but tells Kim he was in the area only because of a client meeting. Kim senses his interest and, while Michael drives her home, invites him to a party. Michael accepts. Back in the office, Michael constructs an excuse to be away from Jenna on the night of the party. He asks Chris, his friend and co-worker, to cover for him in case Jenna calls. Chris suspects Michael has met another woman and wishes to avoid becoming involved, as Chris himself has just left his wife; he knows first hand how painful a breakup can be. Michael denies the existence of another woman and merely says he will 'be with an old college friend.'After the party with Kimwho Michael says makes him 'feel ten years younger'the two kiss several times, preceding Kim inviting Michael to her dorm for the night. Guilt over cheating on Jenna prevails over temptation, however, and he refuses. Unfortunately for Michael, Izzy's father (Izzy is a mutual friend to Michael and Jenna) dies that night. Several friends and acquaintances, including Jenna and Chris, go to Izzy's home with their condolences. There, Jenna realizes Michael had not been, as he claimed, with Chris. Jenna confronts Chris but Chris refuses to answer her questions, which only fuels Jenna's suspicions that Michael has indeed gone astray.When Michael arrives home that night, Jenna becomes confrontational; Michael at first denies he was out with Kim, but eventually admits he had seen another woman. Although he points out he didn't sleep with her and that the outing meant nothing, Jenna yells at him and kicks him out of the house.Alone, depressed, and desperate, Michael receives a call from Kim. Kim apologizes for being demanding earlier and asks him to come over for conversation only. Michael agrees. Upon arrival, the pair immediately engage in sexual intercourse. The next morning, Michael tries sneaking away without waking Kim but notices once he gets out the door that he left his keys behind. Upon his return, Kim demands to know why he hadn't said goodbye. Michael tells her simply that he did not want to wake her, as he had to be at work early. Kim takes the missing keys out of her pocket and returns them after Michael promises to call her.At work, Michael plans on leaving early to seek out Jenna. On his way out, Kim visits his office unannounced, wanting to give him a mix CD. Michael confides he still loves Jenna who was, in fact, pregnant with his baby. He apologizes to Kim for not telling her about Jenna's pregnancy and leaves her in search of Jenna.Michael pulls up to Jenna's parents' home, and Jenna's father gives a stern lecture about commitment and adulthood and offers advice on winning Jennas forgiveness. The father urges Michael to be completely honest and never stop trying. Equipped with his wisdom, Michael goes into Jenna's room. On the verge of reconciliation, Jenna asks if he was telling the truth about having sex with Kim. Michael says he was telling the truth (which he was, at the time), but as a result of her father's advice he confesses he went back later that night. Even though Michael claims he was only being honest, Jenna becomes inconsolable and storms out of the house and back to their apartment.Michael follows her back and finds himself locked out. He stakes out on the front porch until Jenna agrees to talk. Both day and night, wet and dry, Michael remains at the front door with many neighbors taking notice and some even providing beverages to him. Jenna's father even proceeds to drive by in his car and notices Michael, who sees him. A proud smile develops on his face as he drives off, indicating that Michael has taken his advice seriously. Slowly but surely, she begins to relent, first tossing out a blanket during a cold evening, then dropping off a sandwich the next day. During the evening of what would have been his third night on the porch, Jenna breaks her silence and speaks to Michael through the closed door. She laments about mourning the loss of the relationship like the loss of someone's life. Later that evening, Jenna opens the door and Michael goes inside.","romantic, boring"
Street Fighter: The Legend of Chun-Li,"The movie opens with Chun Li narrating her experience growing up aspiring to be a concert pianist. As a child, she moves from San Francisco to Hong Kong with her family. There, along with piano, she learns Wushu from her father, Xiang, who is a well connected businessman. One night, her home is attacked by Bison and his henchman. Chun Li's father fights them off until Balrog grabs a hold of a young Chun Li, forcing him to surrender. As Bison and his men are leaving with Xiang, Chun Li's mother tries to stop them. Balrog just punches her.Years later, Chun Li grows up and becomes a talented concert pianist. At the end of one of her concerts, she receives a scroll written in Ancient Chinese text. On her way home, she sees a mysterious homeless man getting assaulted by street thugs. After the thugs leave, Chun Li tends to him and notices a spiderweb tattoo on his hand. Meanwhile, Xiang is shown working for Bison as a prisoner. In return for his services, he is allowed to view pictures of his daughter all grown up. Back home, Chun Li's mother finally loses her battle to cancer as Chun Li and her servants mourn her loss at a funeralElsewhere, we see Nash and Maya investigating a murder of several heads of criminal syndicate families in Bangkok. Chun Li on the side is meeting with a wise old lady in town who studies the scroll and tells her to find a man named Gen in Bangkok, revealing to her an image of the same spiderweb she saw tattooed on the homeless man's hand. With a new goal in mind, Chun Li leaves her home and heads to Bangkok. After weeks of searching for Gen without any luck, she sees a man being assaulted in an alley by thugs. Chun Li comes to his rescue and fights them. After a long battle ended by finishing them with a Bike Rack Drop Ultra move, Chun Li collapses in exhaustion. There, we see Gen pick her up to take her to his home.Gen tells Chun Li that he knows how to find her father and that Bison has him, but that she also needs anger management. In response, she goes to an internet cafe and logs onto shoryuken.com to find out more about Bison, who is now holding the families of property owners hostage in order to force them to sign their property over to him. Upon leaving, one of the owners is asked to hand over the rights to a docking harbor, allowing the shipment of the ""White Rose"". Chun Li overhears this. Meanwhile at Interpol, Nash figures out that Bison's headquarters are right across the street from the Police Station.Later that night, Cantana, one of Bison's secretaries, goes to a nightclub. Chun Li spies on her and notices her jocking the girls in the club. Chun Li moves in and seductively dances with her before casually walking away into the bathroom. Cantana, sex driven, follows her and locks the bathroom window. There, Chun Li beats her into giving out the location of the White Rose. Cantana's bodyguards come back and Chun Li escapes after a brief shootout.We are then told of Bison's origins. He is the son of Irish missionaries. He grew up an orphan having to steal fish from people in Thailand. In order to lose his conscience, he forced his daughter out of the womb of his wife prematurely. This somehow transferred his conscience into her. Back at Gen's home, Bison's henchmen come after Gen and Chun Li. Gen fights them off until Balrog blows up his house with a rocket launcher. With Gen gone and nowhere to be found, Chun Li runs off. She is then attacked by Vega, who she defeats soundly and hangs upside down since his claws weren't sharp enough to cut rope.Chun Li then heads to the harbor and interrogates an employee into telling her the arrival time of the White Rose. Later that night, this turns out to be a trap as several Shadaloo soldiers capture her. Chun Li is then taken back to Shadaloo headquarters and is reunited with her father. Bison tells her that Xiang outlived his usefulness and breaks his neck, killing him. Bison and Balrog leave Chun Li to the henchman to finish off. Chun Li however escapes when they try to swing her around from the ceiling like a pinata. As she runs away, she is shot in the arm by Balrog. Before Balrog could recapture her, the crowd begins throwing durians at him. This scares Balrog as he drives off in his Benz. Chun Li meanwhile, is rescued again by Gen, who survived the explosion.Chun Li approaches Nash and tells him she needs backup to take down Bison. Nash and Maya oblige as Chun Li approaches the dock employee who set her up last time. The employee tells her that he was forced into deceiving her and tells her the real arrival time. Chun Li doubts him at first, but he points to the white board at the arrival time, proving that it is true. At the dock later that night, Interpol agents engage in a shootout with Shadaloo soldiers. On a ship, Chun Li finds a girl asking where her father is. Meanwhile, Gen fights Balrog and kills him by stabbing him with a pipe spraying nitrogen. We later find out that the girl is Bison's daughter and her name is Rose, making her the White Rose. Bison takes her in and welcomes her warmly.Bison walks into his office where he is ambushed by Gen. Gen however is no match for him. Sensing his daughter in danger, Bison goes back to his daughters room, where he finds she is gone. Gen shows up again and ambushes Bison, getting beaten up again. Chun Li then comes in and fights Bison. After a long battle, she hits him with a bamboo pole a couple times and drops some sandbags on him, making him dizzy. She then charges up a Kikoken and shoots it at him, knocking him off the scaffolding they were fighting on, then jumping on his neck and twisting it, killing him.Back home, Chun Li is settled down as Gen pays her a visit. He shows her an ad for a Street Fighter tournament, telling her about a Japanese fighter named ""Ryu something"". Chun Li declines, saying that she's home for now.","murder, violence, flashback, good versus evil, action, revenge"
Trauma,"On a dark and rainy night, a chiropractor opens a door to let an unseen patient into her office. When the chiropractor tells the unseen person that ""you look familiar"", the person knocks out the female chiropractor, takes out a machine-operated wire device and decapitates the woman.Several days later, David Parson is driving around Minneapolis and over a local bridge when he sees a gaunt, dark-haired teenager standing on the edge of the bridge, preparing to jump. David stops his pickup truck and helps the seemingly dazed girl back into the street where they get back into his truck and dive away. They drive to a local restaurant where the girl, speaking with a thick European accent, identifies herself as Aura Petrescu from Romania. She refuses to eat, and David suspects that she has a drug problem when he sees needle marks on her arms, and he shows her his that he too was a junkie. After eating a little bit of bread, Aura leaves for the ladies room where she vomits. After sneaking out a back window, she is grabbed by two men who take her away in a car to the home of her parents. Back inside the restaurant, David realizes that Aura has just stolen his wallet.The two men drop off Aura with her weird mother Adriana, while Aura's father, Stefan, locks her in a bedroom. That evening, many business-like people arrive at the house for a séance conducted by Adriana. While trying to summon a soul, Adriana is possessed and mentions a monster with a noose and threatens everyone with more murders to come. Adriana eventually becomes more violent and runs out of the room, followed by her husband. Aura goes after her parents, only to stumble upon a headless body and looks up to see a black-clad killer holding up the severed heads of her mother and father in the pouring rain.After making a phone call, Dr. Judd arrives where he asks Aura about what she saw. Soon, the police, led by Captain Travis, arrive to investigate the killings and question Aura about exactly what she saw. Aura gets away from the police and tracks down David, by using his ID from his stolen wallet, where she tells him about her parents murder and needs a place to stay.Meanwhile, Gabriel, a young boy, apparently lives next door to the killer when he sees an unseen person leave a decapitated head sitting by the window to stare at the boy all night.Later that same night, David awakens to find food laying all over his house and Aura vomiting in the bathroom. The following morning, David, who works as a storyboard sketch artist at a local TV station, arrives for work where he confides in his friend, Arnie, about Aura's problem. Arnie infers that Aura may have anorexia nervosa.The following night, Aura sees David and his reporter girlfriend, Grace, having sex in his bedroom. Disturbed by the sight, Aura runs out of the house, and David is forced to run after her where he's forced to tell Grace about Aura and her problems. The next day, Arnie and David watch a collection of news stories on the recent murders and realized that they all occurred when it was raining. David receives a phone call from Aura who has been taken away. He learns from an apparent covetous Grace that she told Dr. Judd of Aura's whereabouts. David angrily breaks up with Grace and tells her that Aura witnessed the murder of her parents and that the killer may come after her.Meanwhile, Dr. Judd tries to help Aura remember what she may have seen the night her parents were murdered, but he is unsuccessful at extracting any more details. As night falls, David visits the Faraday Clinic where he sneaks in and attempts to find Aura. But the unseen killer has followed him there and forces his way in as well and decapitates one of the clinics doctors. David helps Aura escape and they hide out at his house. Aura reveals that she had stolen a set of keys form the murdered doctor and a key chain as the word 'Marigold' inscribed on it.The next day, David and Aura follow the source of the keys which leads to a local storage locker where they manage to find a photograph of several doctors before the police arrive to confiscate the stuff in the locker which they add up to another murder victim of the so-called Head Hunter. Meanwhile, one of the doctors, named Linda Quick, is telling her girlfriend about the recent murders and that she and the doctors were involved several years ago in an accident involving electro convulsive therapy and something awful. David phones her to ask about the murdered doctors, and Linda immediately hangs up. David and Aura go to visit Linda, but the frightened Linda speeds away in her car. David and Aura drive around looking for her when they finally see the car parked in a motel parking lot. Linda's girlfriend, still at the house, receives a call from Linda and writes down Linda's hotel room number. But the killer arrives and kills Linda's girlfriend and sees from the notepad where Linda is.While David and Aura stake out the motel, the killer arrives, triggers the building sprinkler system (for the rain effect), breaks into Linda's room and beheads her too. David arrives too late to find Linda's decapitated body, but the killer has fled before taking Linda's head with him. The severed head of Linda manages to whisper to David the name ""Lloyd"" before expiring. David sees and takes a medical bag of Linda's displaying the name St. Bartholomew Hospital.David goes to the hospital, but learns that Dr. Lloyd no longer works here. David finds Dr. Lloyd living on the streets as a junkie drug dealer. Lloyd becomes frightened when David tells him about the recent murders, and refuses to talk with him. David gives Lloyd his phone number and tells him to call if he needs him. Before long, the killer finds Lloyd by tailing him back to a derelict warehouse where Lloyd resides. The killer attacks Lloyd in the same way as with the previous victims by hitting him in the back of the neck with a hammer, and attempts to decapitate Lloyd with the wire device, but the wire snaps. So, the killer is forced to drag Lloyd's still-living, but imobilized body to an elevator shaft and allows a decending elevator car to decapitate Lloyd. Lloyd's severed head falls down the elevator shaft. A little later, the police arrive to investigate the crime scene and discover David's phone number on a note.That night, Dr. Judd arrives at David's house where he tries to persuade Aura to leave with him. David wakes up and a struggle ensures, but Judd runs when the cops arrive to arrest David in connection to Lloyd's murder. Judd speeds away and the police give chase, but his car runs off the road and into a tree. The car truck pops open and inside are all the missing severed heads. Before dying from his injuries, Dr. Judd whispers to a policeman, ""I loved her"". David is released and runs back to his house to find Aura gone and note declaring ""I've gone to join my mother."" David finds her nightgown by the lake next to his house and is very distraught thinking that Aura has just drowned herself.With the death of Dr. Judd and the discovery of the severed heads, the Headhunter Murders are considered solved, but David goes into a decline over his loss of Aura. Over the next few days, David resumes his own drug use. Disheartened, he becomes addicted more to prescription drugs. He attempts to feign a prescription, but gets found out and is punched by a pharmacist when he refuses to return the pills. While sitting down on a sidewalk, David sees a person walk by who he believes is wearing Aura's bracelet. David follows the unseen person to a house which is the killer's. Gabriel, standing outside, tells David that he saw someone in a black coat go into the house.David knocks on the front door and says to the unseen person who answers: ""Sorry, I thought you were someone else"". Believing that he has seen Aura reflected in a rain barrel, David crawls though an open window on the side of the house. He enters a child's room with the name of ""Nicholas"" written everywhere where he finds a decomposed baby with its severed head in a crib. David is knocked out. He awakens in the basement chained up to a wall with Aura by his side. David soon learns that Aura's mother is still alive.Adriana arrives where she tells David that many years ago, while she was giving birth to her son, her newborn infant was accidentally decapitated by Dr. Lloyd who froze during a blackout in the delivery room during a sudden rainstorm. In an effort to make Adriana forget the horrible accident, and to cover it up, Dr. Lloyd and all the other nurses subjected Adriana to excessive electro-shock therapy. But the process only made Adriana insane and filled with her a resolve to kill all those doctors in the same way her baby was killed. David uses his chains to restrain the gated cage door, and Adriana forces it open with a fireplace poker, in which a support pillar tears open part of the ceiling. Standing above them is Gabriel, who jumps down and uses Adriana's portable wire saw to decapitate Adriana.","avant garde, murder, violence, horror, flashback, psychedelic, revenge"
I Know Who Killed Me,"The quiet suburb of New Salem is being terrorized by a serial killer who abducts and tortures young women, holding them captive for weeks before murdering them. Aubrey Fleming (Lindsay Lohan), a pianist and aspiring writer, appears to be his latest victim when she disappears during a night out with her friends. She is later seen bound and gagged on an operating table as her hands are exposed to dry ice. As the days tick by, the special FBI Task Force convened to track the killer begins to lose hope of finding him before it's too late.
Late one night, a driver discovers a young woman by the side of a deserted road, disheveled and critically injured. The girl is rushed to the hospital, where Aubrey’s distraught parents, Susan (Julia Ormond) and Daniel (Neal McDonough), wait by her side as she slips in and out of consciousness. When she is finally able to speak, she shocks everyone by claiming to be a down-on-her luck stripper named Dakota Moss, who has never heard of Aubrey Fleming. Convinced Aubrey is suffering from post traumatic stress disorder, her doctors, parents, and law enforcement officials can only wait for rest and therapy to restore her memory. But after returning to her parents’ suburban home, she continues to insist she is not who they think she is, despite bearing bizarre wounds identical to those of the serial killer's previous victims, which include her hand and half of her leg cut off.
An FBI psychologist believes Dakota to be a delusional persona of Aubrey, and the agents speculate the persona is to distance and protect Aubrey from the events that happened. Examining Aubrey's laptop, they discover a short story about a girl with an alter ego named Dakota. In addition, a DNA test confirms that Dakota is Aubrey.
Unaware of this, Dakota explains away her injuries as various events that happened before she arrived in town. She begins to suspect she may be Aubrey's identical twin sister, and comes to believe her injuries are sympathetic resonance with her twin's wounds, in a stigmata-like fashion. However, Susan shows Dakota a video of her pregnancy ultrasound clearly revealing there was only one fetus in her womb. Dakota then confronts Daniel and asserts Susan's child died shortly after birth, and that Daniel took Aubrey from Virginia Sue Moss (another character from Aubrey's short story), a crack addict and leaving her with Dakota to raise alone.
Confused and terrified, Dakota starts seeing visions of a menacing figure slowly butchering his captive. One of these visions take Dakota to a nearby cemetery. After investigating the grave of Aubrey's recently murdered friend, Jennifer Toland (Stacy Lynn Gabel), Dakota finds a blue ribbon from a piano competition, with a message from Jennifer's (and Aubrey's) piano teacher, Douglas Norquist (Thomas Tofel). She is followed by Daniel, and declares ""I know who killed me"".
The two go, without FBI backup, to Norquist's home to confront him. Daniel heads into Norquist's house alone leaving a panicking Dakota in the car alone. Attempting to calm herself, Dakota refers to herself as Aubrey. Daniel is seemingly overpowered, and it is implied killed, by Norquist. Dakota, having entered the house, attacks Norquist in self-defense and cuts his hand off before being overpowered and tied up. Confused, Norquist asks why she has returned and exclaimed he had buried her (referencing an earlier vision Dakota had). Freeing herself, Dakota kills Norquist and heads into the nearby wood finding where Norquist had buried Aubrey alive. Having freed Aubrey, seemingly verifying Dakota's version of events, Dakota lies on the ground next to her.","dark, cruelty, murder, violence, flashback, revenge, sadist"
